DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
18/01/2020;21900631;1610612741;118.0;0.552;0.765;0.36;25.0;26.0;1610612739;116.0;0.5479999999999999;0.913;0.517;27.0;36.0;CASA
18/01/2020;21900632;1610612750;112.0;0.404;0.815;0.28;34.0;49.0;1610612761;122.0;0.516;0.882;0.371;25.0;42.0;VISITANTE
18/01/2020;21900633;1610612745;115.0;0.444;0.7929999999999999;0.324;20.0;46.0;1610612747;124.0;0.484;0.7190000000000001;0.333;25.0;49.0;VISITANTE
18/01/2020;21900634;1610612744;109.0;0.457;1.0;0.3;25.0;44.0;1610612753;95.0;0.453;0.615;0.29;21.0;46.0;CASA
18/01/2020;21900635;1610612760;119.0;0.518;0.722;0.318;25.0;48.0;1610612757;106.0;0.429;0.762;0.375;11.0;40.0;CASA
18/01/2020;21900636;1610612762;123.0;0.506;0.958;0.333;24.0;47.0;1610612758;101.0;0.488;0.583;0.385;20.0;37.0;CASA
17/01/2020;21900619;1610612754;116.0;0.561;0.8;0.333;24.0;41.0;1610612750;114.0;0.455;0.81;0.436;22.0;36.0;CASA
17/01/2020;21900620;1610612755;100.0;0.488;1.0;0.31;30.0;44.0;1610612741;89.0;0.4320000000000001;0.733;0.229;21.0;37.0;CASA
17/01/2020;21900621;1610612761;140.0;0.5710000000000001;0.875;0.512;35.0;41.0;1610612764;111.0;0.449;0.696;0.429;19.0;43.0;CASA
17/01/2020;21900622;1610612763;113.0;0.506;0.7;0.321;32.0;44.0;1610612739;109.0;0.446;0.6920000000000001;0.25;18.0;50.0;CASA
17/01/2020;21900623;1610612760;108.0;0.44;0.889;0.391;29.0;35.0;1610612748;115.0;0.488;0.792;0.389;26.0;45.0;VISITANTE
17/01/2020;21900624;1610612759;120.0;0.459;0.957;0.276;28.0;48.0;1610612737;121.0;0.5;0.741;0.475;21.0;43.0;VISITANTE
